category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,failedStringDecoding,isMaybePascalString,failedPascalStringDecoding,referenceCounter,parentFunction,parentFileName,inFileOffset,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,accessedAsGpRel,firstLoAccess,isAutogeneratedPad,autoCreatedPadMainSymbol,isElfNotype,isAutocreatedSymFromOtherSizedSym,isMips1Double,visibility
symbol,0x80000470,None,func_80000470,None,None,SymbolSpecialType.function,@function,None,None,0x18,0x18,0x1F70,.text,True,False,True,False,False,False,False,0,None,1F70,0,None,False,False,False,False,None,False,None,False,,False,False,False,None
symbol,0x80000488,None,D_80000488,None,None,u32,u32,None,None,None,0x4,0x1F88,.text,True,False,True,False,False,False,False,1,None,1F70,24,None,False,False,False,False,None,False,4,False,,False,False,False,None
symbol,0x8001E0C0,None,func_8001E0C0,None,None,SymbolSpecialType.function,@function,None,None,0x4,0x4,0x1FBC0,.bss,True,False,True,False,False,False,False,0,None,1FBC0,0,None,False,False,False,False,None,False,None,False,,False,False,False,None
